Name,Department,CurrentSemester,Sem1_Total,Sem2_Total,Sem3_Total,Sem4_Total,Sem5_Total,Sem6_Total,Sem1_Attendance,Sem2_Attendance,Sem3_Attendance,Sem4_Attendance,Sem5_Attendance,Sem6_Attendance,22AI037,22AI501,22AI502,22AI503,22AI504,Attendance
Aarav Kumar,Biomedical Engineering,6,357,372,389,386,389,402,73,80,81,86,81,83,41,87,57,55,54,67
Vivaan Nair,Biomedical Engineering,6,383,365,367,361,389,401,68,72,75,80,79,79,87,46,83,87,74,68
Aditya Singh,Biomedical Engineering,6,411,389,367,359,356,369,72,73,72,73,75,70,77,67,42,41,45,65
Arjun Yadav,Biomedical Engineering,6,399,403,419,409,443,438,77,78,72,79,79,86,54,72,78,41,75,73
Krish Menon,Biomedical Engineering,6,351,352,342,317,350,352,66,72,66,62,65,67,85,81,84,74,66,72
Ishaan Verma,Biomedical Engineering,6,335,339,351,324,343,365,68,68,75,72,66,69,68,77,57,91,95,74
Reyansh Kulkarni,Biomedical Engineering,6,386,393,377,412,430,414,60,64,63,64,63,60,88,91,50,84,67,60
Ayaan Jain,Biomedical Engineering,6,399,416,406,423,457,477,88,93,91,85,79,76,57,49,53,88,61,81
Rohan Narayanan,Biomedical Engineering,6,367,377,366,351,325,313,72,66,66,71,77,80,45,64,46,62,94,66
Siddharth Venkatesh,Biomedical Engineering,6,424,406,420,431,424,448,80,81,75,79,86,93,78,56,91,42,86,82
Diya Kumar,Civil Engineering,6,351,385,390,413,388,406,88,91,93,98,98,92,74,47,64,45,75,89
Ananya Nair,Civil Engineering,6,404,394,398,400,385,412,72,75,77,83,84,91,93,80,79,95,63,78
Aadhya Singh,Civil Engineering,6,340,324,339,367,403,433,98,97,94,92,90,91,52,85,44,42,82,96
Ira Yadav,Civil Engineering,6,336,342,348,373,365,353,80,87,90,95,94,90,89,58,45,94,54,74
Meera Menon,Civil Engineering,6,312,300,313,300,309,312,62,60,60,60,60,63,64,57,69,80,93,66
Saanvi Verma,Civil Engineering,6,345,319,314,343,336,358,85,84,79,80,85,88,50,63,62,53,82,83
Kavya Kulkarni,Civil Engineering,6,330,311,340,356,336,367,72,69,66,65,71,78,84,83,81,44,78,77
Priya Jain,Civil Engineering,6,432,406,435,425,403,423,77,72,75,76,71,69,74,86,55,50,69,70
Nithya Narayanan,Civil Engineering,6,320,300,309,339,312,327,79,83,86,87,82,76,57,80,84,75,54,84
Anika Venkatesh,Civil Engineering,6,403,434,413,437,465,483,74,71,71,68,67,68,93,89,89,43,54,80
Harsh Kumar,Computer Science & Design,6,327,308,311,305,307,300,60,60,62,68,70,69,91,60,65,57,44,62
Naveen Nair,Computer Science & Design,6,424,439,452,476,491,485,70,76,79,78,80,75,76,85,60,53,81,73
Karthik Singh,Computer Science & Design,6,405,420,396,431,426,413,92,97,98,98,95,98,65,81,69,49,56,91
Varun Yadav,Computer Science & Design,6,364,395,373,384,387,363,73,79,86,85,85,80,55,87,75,74,56,68
Rahul Menon,Computer Science & Design,6,342,355,375,385,364,400,98,94,95,96,90,92,67,77,65,63,54,97
