Name,Department,CurrentSemester,Sem1_Total,Sem2_Total,Sem3_Total,Sem4_Total,Sem5_Total,Sem6_Total,Sem1_Attendance,Sem2_Attendance,Sem3_Attendance,Sem4_Attendance,Sem5_Attendance,Sem6_Attendance,22AI037,22AI501,22AI502,22AI503,22AI504,Attendance
Aarav Kumar,Biomedical Engineering,6,432,442,454,473,447,433,63,69,69,71,67,70,41,87,57,55,54,67
Vivaan Nair,Biomedical Engineering,6,328,355,388,414,415,404,72,72,74,72,79,79,87,46,83,87,74,68
Aditya Singh,Biomedical Engineering,6,409,408,391,406,384,383,64,66,63,67,71,69,77,67,42,41,45,65
Arjun Yadav,Biomedical Engineering,6,406,384,356,341,320,300,67,65,70,75,78,77,54,72,78,41,75,73
Krish Menon,Biomedical Engineering,6,385,379,394,417,393,371,78,76,79,75,73,70,85,81,84,74,66,72
Ishaan Verma,Biomedical Engineering,6,400,416,451,426,418,404,77,76,81,81,82,86,68,77,57,91,95,74
Reyansh Kulkarni,Biomedical Engineering,6,395,426,418,417,405,394,66,72,78,75,71,78,88,91,50,84,67,60
Ayaan Jain,Biomedical Engineering,6,386,379,393,378,375,370,85,90,90,94,96,91,57,49,53,88,61,81
Rohan Narayanan,Biomedical Engineering,6,306,300,329,308,342,324,61,64,60,64,65,67,45,64,46,62,94,66
Siddharth Venkatesh,Biomedical Engineering,6,412,422,427,416,427,459,78,80,80,86,86,86,78,56,91,42,86,82
Diya Kumar,Civil Engineering,6,342,338,341,371,396,386,90,84,90,88,85,88,74,47,64,45,75,89
Ananya Nair,Civil Engineering,6,403,382,362,382,393,369,76,79,82,85,83,90,93,80,79,95,63,78
Aadhya Singh,Civil Engineering,6,379,394,377,360,355,391,97,96,98,93,92,89,52,85,44,42,82,96
Ira Yadav,Civil Engineering,6,432,425,439,474,467,452,78,72,73,75,76,82,89,58,45,94,54,74
Meera Menon,Civil Engineering,6,427,450,461,452,455,482,68,71,65,63,64,64,64,57,69,80,93,66
Saanvi Verma,Civil Engineering,6,404,438,473,477,480,483,87,82,79,85,85,87,50,63,62,53,82,83
Kavya Kulkarni,Civil Engineering,6,425,447,441,429,408,398,73,79,76,80,81,85,84,83,81,44,78,77
Priya Jain,Civil Engineering,6,338,365,356,359,339,332,69,65,62,69,68,69,74,86,55,50,69,70
Nithya Narayanan,Civil Engineering,6,362,352,356,372,369,359,87,82,85,80,76,78,57,80,84,75,54,84
Anika Venkatesh,Civil Engineering,6,334,306,307,330,350,372,85,84,81,85,86,86,93,89,89,43,54,80
Harsh Kumar,Computer Science & Design,6,393,417,405,400,433,426,64,66,70,69,67,74,91,60,65,57,44,62
Naveen Nair,Computer Science & Design,6,434,445,432,455,427,408,78,73,74,70,69,76,76,85,60,53,81,73
Karthik Singh,Computer Science & Design,6,333,362,389,362,338,370,87,83,79,75,75,69,65,81,69,49,56,91
Varun Yadav,Computer Science & Design,6,341,374,394,430,402,435,68,63,62,61,68,71,55,87,75,74,56,68
Rahul Menon,Computer Science & Design,6,423,395,367,382,400,418,91,98,94,93,92,96,67,77,65,63,54,97
Surya Verma,Computer Science & Design,6,334,338,325,304,316,311,73,68,65,68,68,63,72,71,45,88,43,68
Pranav Kulkarni,Computer Science & Design,6,358,368,403,375,384,370,74,76,79,74,80,86,49,80,50,90,83,67
Ritvik Jain,Computer Science & Design,6,431,446,430,444,479,490,85,83,79,76,80,85,78,44,64,64,78,87
Abhinav Narayanan,Computer Science & Design,6,377,401,386,415,449,421,87,81,75,76,83,86,73,56,75,95,40,89
Dev Venkatesh,Computer Science & Design,6,346,347,361,355,374,408,61,61,63,64,61,63,83,74,88,57,89,67
Aarav Kumar,Computer Science & Engineering,6,365,357,332,318,334,353,83,79,75,71,76,83,47,58,67,50,69,81
Vivaan Nair,Computer Science & Engineering,6,384,377,367,346,330,345,60,60,60,65,70,76,86,86,56,72,88,60
Aditya Singh,Computer Science & Engineering,6,332,365,362,363,365,379,76,80,75,77,71,74,72,46,95,80,59,71
Arjun Yadav,Computer Science & Engineering,6,307,327,308,327,360,351,93,98,98,98,98,98,78,52,49,63,88,92
Krish Menon,Computer Science & Engineering,6,363,398,405,433,422,396,72,73,69,69,66,62,74,89,73,40,78,70
Ishaan Verma,Computer Science & Engineering,6,343,357,360,354,327,340,78,79,79,74,75,76,71,41,47,63,93,80
Reyansh Kulkarni,Computer Science & Engineering,6,377,391,377,392,403,410,74,78,74,78,81,79,55,43,55,76,45,79
