Name,RegisterNumber,Gender,ProfileImage,Department,CurrentSemester,Sem1_Total,Sem2_Total,Sem3_Total,Sem4_Total,Sem5_Total,Sem6_Total,Sem1_Attendance,Sem2_Attendance,Sem3_Attendance,Sem4_Attendance,Sem5_Attendance,Sem6_Attendance,22AI037,22AI501,22AI502,22AI503,22AI504,Attendance
Aarav Kumar,BIOM2026001,Male,,Biomedical Engineering,6,427,414,432,446,422,457,67,63,65,67,72,71,41,87,57,55,54,67
Vivaan Kumar,BIOM2026002,Male,,Biomedical Engineering,6,444,419,410,437,415,428,74,70,67,68,67,69,87,46,83,87,74,68
Aditya Kumar,BIOM2026003,Male,,Biomedical Engineering,6,335,307,300,331,320,311,68,65,61,65,60,67,77,67,42,41,45,65
Arjun Kumar,BIOM2026004,Male,,Biomedical Engineering,6,392,386,396,396,430,461,68,74,70,73,74,81,54,72,78,41,75,73
Krish Kumar,BIOM2026005,Male,,Biomedical Engineering,6,391,411,439,419,444,474,74,69,65,72,69,71,85,81,84,74,66,72
Ishaan Kumar,BIOM2026006,Male,,Biomedical Engineering,6,391,377,386,389,366,364,69,71,72,67,74,73,68,77,57,91,95,74
Reyansh Kumar,BIOM2026007,Male,,Biomedical Engineering,6,390,416,436,444,439,422,60,61,67,69,70,65,88,91,50,84,67,60
Ayaan Kumar,BIOM2026008,Male,,Biomedical Engineering,6,384,383,417,404,437,440,78,75,78,82,87,83,57,49,53,88,61,81
Rohan Kumar,BIOM2026009,Male,,Biomedical Engineering,6,394,385,375,348,348,350,69,73,69,66,60,63,45,64,46,62,94,66
Siddharth Kumar,BIOM2026010,Male,,Biomedical Engineering,6,327,349,383,363,399,380,83,90,91,86,91,95,78,56,91,42,86,82
Diya Kumar,CIVI2026011,Male,,Civil Engineering,6,400,429,401,391,395,369,92,86,85,86,93,91,74,47,64,45,75,89
Ananya Kumar,CIVI2026012,Male,,Civil Engineering,6,352,333,350,366,387,403,82,77,76,80,76,77,93,80,79,95,63,78
Aadhya Kumar,CIVI2026013,Male,,Civil Engineering,6,417,417,424,412,433,464,96,92,98,98,98,98,52,85,44,42,82,96
Ira Kumar,CIVI2026014,Male,,Civil Engineering,6,394,422,419,448,425,449,81,83,82,79,73,67,89,58,45,94,54,74
Meera Kumar,CIVI2026015,Male,,Civil Engineering,6,385,361,367,379,413,410,64,65,60,60,60,66,64,57,69,80,93,66
Saanvi Kumar,CIVI2026016,Male,,Civil Engineering,6,328,326,340,351,356,337,81,82,76,77,77,74,50,63,62,53,82,83
Kavya Kumar,CIVI2026017,Male,,Civil Engineering,6,418,407,399,423,451,460,79,85,86,93,90,86,84,83,81,44,78,77
Priya Kumar,CIVI2026018,Male,,Civil Engineering,6,361,374,386,415,446,479,70,72,70,73,80,83,74,86,55,50,69,70
Nithya Kumar,CIVI2026019,Male,,Civil Engineering,6,338,357,338,342,351,332,84,87,89,95,98,97,57,80,84,75,54,84
Anika Kumar,CIVI2026020,Male,,Civil Engineering,6,341,358,349,371,393,396,74,79,83,88,93,93,93,89,89,43,54,80
Harsh Kumar,COMP2026021,Male,,Computer Science & Design,6,377,394,418,394,373,373,60,60,60,62,64,67,91,60,65,57,44,62
Naveen Kumar,COMP2026022,Male,,Computer Science & Design,6,326,318,336,366,375,382,70,65,67,72,75,77,76,85,60,53,81,73
Karthik Kumar,COMP2026023,Male,,Computer Science & Design,6,352,335,322,343,341,314,89,95,90,84,86,80,65,81,69,49,56,91
Varun Kumar,COMP2026024,Male,,Computer Science & Design,6,442,450,423,452,481,467,69,75,78,76,76,79,55,87,75,74,56,68
Rahul Kumar,COMP2026025,Male,,Computer Science & Design,6,429,401,405,402,389,361,98,96,98,98,95,98,67,77,65,63,54,97
Surya Kumar,COMP2026026,Male,,Computer Science & Design,6,374,386,409,386,374,357,69,70,74,70,69,71,72,71,45,88,43,68
Pranav Kumar,COMP2026027,Male,,Computer Science & Design,6,366,341,358,379,389,376,66,73,79,84,83,86,49,80,50,90,83,67
Ritvik Kumar,COMP2026028,Male,,Computer Science & Design,6,452,473,488,467,463,469,92,90,87,83,85,81,78,44,64,64,78,87
Abhinav Kumar,COMP2026029,Male,,Computer Science & Design,6,335,367,388,378,409,405,89,85,91,88,94,95,73,56,75,95,40,89
Dev Kumar,COMP2026030,Male,,Computer Science & Design,6,382,413,399,435,423,411,70,73,80,86,88,95,83,74,88,57,89,67
